program_id,program_name,program_code,profile_version,profile_method,profile_confidence,profile_family,dominant_dim,dominant_dim_label,secondary_dims,evidence_text,evidence_sources,review_status,occupation_bridge_confidence,occupation_bridge_p21_groups,occupation_bridge_p21_labels,affinity_stem_score,current_stem_score,template_stem_score,affinity_health_score,current_health_score,template_health_score,affinity_arts_score,current_arts_score,template_arts_score,affinity_business_score,current_business_score,template_business_score,affinity_education_score,current_education_score,template_education_score,affinity_agriculture_score,current_agriculture_score,template_agriculture_score,affinity_duration_score
57ea60bc-028a-4bf2-8cc7-19563776545f,Bachelor of Arts in Public Administration,BU-BPA-01,program_profile_v2,weighted_prior_template_v2,medium,public_admin,business,Business,,"Family rule: public administration and governance pathway. Blended current affinity prior (0.55) with public_admin template (0.45). Occupation bridge: Bachelor of Public Administration: accounting/finance licensure (CPA, government service) leads to PSOC Group 02 Professionals and management track Group 01 Managers Match type: exact_subject.",existing_program_affinity_scores|program_family_template|program_occupation_bridge,needs_review,High,"[1, 2]","['Managers', 'Professionals']",2.46,3.0,1.8,1.27,1.0,1.6,3.18,3.0,3.4,4.09,4.0,4.2,1.99,1.0,3.2,1.55,2.0,1.0,2.0
b1cf9754-2a2b-4ab9-be00-e5f24b214331,Bachelor of Science in Pharmaceutical Sciences,HE-BPS-01,program_profile_v2,weighted_prior_template_v2,medium,health_clinical,health,Health,stem,Family rule: health licensure or clinical health pathway. Blended current affinity prior (0.55) with health_clinical template (0.45). No safe occupation-bridge match found; profile should be reviewed if used in high-stakes reporting.,existing_program_affinity_scores|program_family_template,needs_review,,,,4.46,5.0,3.8,5.0,5.0,5.0,2.0,2.0,2.0,2.74,4.0,1.2,1.17,0.0,2.6,1.46,2.0,0.8,3.0
e5c426ab-5e34-4058-8727-3e51e820e2c5,Bachelor of Science in Basic Medical Sciences,HE-BBMS-01,program_profile_v2,weighted_prior_template_v2,medium,health_clinical,health,Health,stem,Family rule: health licensure or clinical health pathway. Blended current affinity prior (0.55) with health_clinical template (0.45). No safe occupation-bridge match found; profile should be reviewed if used in high-stakes reporting.,existing_program_affinity_scores|program_family_template,needs_review,,,,4.46,5.0,3.8,5.0,5.0,5.0,2.55,3.0,2.0,0.54,0.0,1.2,1.72,1.0,2.6,0.36,0.0,0.8,5.0
2a83ca5a-8667-4772-ae35-cd6f706fc661,Bachelor of Arts in Philippine Arts,AR-BPA-01,program_profile_v2,weighted_prior_template_v2,medium,arts_humanities,arts,Arts,,"Family rule: arts, humanities, language, or design pathway. Blended current affinity prior (0.55) with arts_humanities template (0.45). No safe occupation-bridge match found; profile should be reviewed if used in high-stakes reporting.",existing_program_affinity_scores|program_family_template,needs_review,,,,1.46,2.0,0.8,0.36,0.0,0.8,5.0,5.0,5.0,3.01,4.0,1.8,3.0,3.0,3.0,0.27,0.0,0.6,2.0
fa1117d4-8697-44bb-9784-6f3ad40ad6d5,Bachelor of Science in Community Development,AR-BCD-01,program_profile_v2,weighted_prior_template_v2,medium,social_science,arts,Arts,,"Family rule: social science, social service, or community pathway. Blended current affinity prior (0.55) with social_science template (0.45). Occupation bridge: BS Community Development: arts/humanities/social-science path leads to PSOC Group 02 Professionals (educators, researchers, media) and Group 05 Service & sales workers Match type: exact_name.",existing_program_affinity_scores|program_family_template|program_occupation_bridge,needs_review,Medium,"[2, 5]","['Professionals', 'Service & sales workers']",1.775,2.0,1.5,1.36,1.0,1.8,4.18,4.0,4.4,2.73,3.0,2.4,3.36,3.0,3.8,1.46,2.0,0.8,2.0
6d15d620-3f1c-4bec-81a3-1d956839281f,Bachelor of Science in Sports Science,HE-BSS-01,program_profile_v2,weighted_prior_template_v2,medium,health_psych_sports,health,Health,,"Family rule: health-adjacent behavioral, therapy, or sports science pathway. Blended current affinity prior (0.55) with health_psych_sports template (0.45). Occupation bridge: BS Sports Science: clinical/health practice leads to licensed professional (PSOC Group 02 Professionals) and auxiliary/support roles (Group 03 Technicians) Match type: exact_name.",existing_program_affinity_scores|program_family_template|program_occupation_bridge,needs_review,High,"[2, 3]","['Professionals', 'Technicians & assoc. professionals']",3.415,4.0,2.7,4.64,5.0,4.2,2.45,2.0,3.0,1.91,2.0,1.8,3.18,3.0,3.4,0.36,0.0,0.8,2.0
676ff91b-aa7b-4823-9a05-29a9881000f9,Bachelor of Science in Industrial Technology,ST-BIT-01,program_profile_v2,weighted_prior_template_v2,medium,industrial_technology,stem,STEM,,Family rule: applied industrial technology pathway. Blended current affinity prior (0.55) with industrial_technology template (0.45). Occupation bridge: Bachelor of Industrial Technology: engineering/architecture licensure exam (PRC) leads to PSOC Group 02 Professionals; trade-level roles in Group 07 Craft & related trades Match type: exact_subject.,existing_program_affinity_scores|program_family_template|program_occupation_bridge,needs_review,High,"[2, 7]","['Professionals', 'Craft & related trades workers']",4.73,5.0,4.4,1.09,1.0,1.2,2.0,2.0,2.0,2.91,3.0,2.8,0.63,0.0,1.4,1.18,1.0,1.4,2.0
8f510c67-ebd1-4d93-9134-2b5b1a517d2c,Bachelor of Science in Social Work,AR-BSW-01,program_profile_v2,weighted_prior_template_v2,medium,social_science,arts,Arts,education,"Family rule: social science, social service, or community pathway. Blended current affinity prior (0.55) with social_science template (0.45). Occupation bridge: BS Social Work: arts/humanities/social-science path leads to PSOC Group 02 Professionals (educators, researchers, media) and Group 05 Service & sales workers Match type: exact_name.",existing_program_affinity_scores|program_family_template|program_occupation_bridge,needs_review,Medium,"[2, 5]","['Professionals', 'Service & sales workers']",1.775,2.0,1.5,1.91,2.0,1.8,3.63,3.0,4.4,2.73,3.0,2.4,3.36,3.0,3.8,0.91,1.0,0.8,2.0
391f9728-f795-494d-8b57-5725a1bdead5,Business Economics,AR-BE-02,program_profile_v2,weighted_prior_template_v2,medium,business_general,business,Business,arts,"Family rule: business, management, or economics pathway. Blended current affinity prior (0.55) with business_general template (0.45). No safe occupation-bridge match found; profile should be reviewed if used in high-stakes reporting.",existing_program_affinity_scores|program_family_template,needs_review,,,,2.55,3.0,2.0,0.91,1.0,0.8,3.28,4.0,2.4,3.9,3.0,5.0,0.72,0.0,1.6,1.0,1.0,1.0,2.0
a5cf6bd2-229d-4a97-81bf-43a31bcc4de6,Bachelor of Science in Economics,AR-BE-01,program_profile_v2,weighted_prior_template_v2,medium,business_general,business,Business,arts,"Family rule: business, management, or economics pathway. Blended current affinity prior (0.55) with business_general template (0.45). No safe occupation-bridge match found; profile should be reviewed if used in high-stakes reporting.",existing_program_affinity_scores|program_family_template,needs_review,,,,2.55,3.0,2.0,0.91,1.0,0.8,3.28,4.0,2.4,3.9,3.0,5.0,0.72,0.0,1.6,1.0,1.0,1.0,2.0
