program_id,program_name,program_code,profile_version,profile_method,profile_confidence,profile_family,dominant_dim,dominant_dim_label,secondary_dims,evidence_text,evidence_sources,review_status,occupation_bridge_confidence,occupation_bridge_p21_groups,occupation_bridge_p21_labels,affinity_stem_score,current_stem_score,template_stem_score,affinity_health_score,current_health_score,template_health_score,affinity_arts_score,current_arts_score,template_arts_score,affinity_business_score,current_business_score,template_business_score,affinity_education_score,current_education_score,template_education_score,affinity_agriculture_score,current_agriculture_score,template_agriculture_score,affinity_duration_score
57a7856b-d952-4bda-a186-07f42b7ccb1f,Bachelor of Science in Nursing,HE-BN-01,program_profile_v2,weighted_prior_template_v2,high,health_clinical,health,Health,,Family rule: health licensure or clinical health pathway. Blended current affinity prior (0.55) with health_clinical template (0.45). Occupation bridge: BS Nursing: clinical/health practice leads to licensed professional (PSOC Group 02 Professionals) and auxiliary/support roles (Group 03 Technicians) Match type: exact_name.,existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,"[2, 3]","['Professionals', 'Technicians & assoc. professionals']",3.91,4.0,3.8,5.0,5.0,5.0,2.55,3.0,2.0,1.64,2.0,1.2,2.82,3.0,2.6,0.91,1.0,0.8,3.0
04e93c0e-476a-4a3c-85d0-bb875cee5ca3,Bachelor of Elementary Education,ED-BoEE-01,program_profile_v2,weighted_prior_template_v2,high,education,education,Education,,Family rule: teacher education or education studies pathway. Blended current affinity prior (0.55) with education template (0.45). Occupation bridge: Bachelor of Elementary Education: licensed teacher qualification under CMO leads to PSOC Group 02 Professionals (Teachers/Instructors) Match type: exact_name.,existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,[2],['Professionals'],2.775,3.0,2.5,1.91,2.0,1.8,3.82,4.0,3.6,1.91,2.0,1.8,5.0,5.0,5.0,1.64,2.0,1.2,3.0
ac647c11-0006-4d7a-bfa8-628b480e26af,Bachelor of Secondary Education,ED-BoSE-01,program_profile_v2,weighted_prior_template_v2,high,education,education,Education,,Family rule: teacher education or education studies pathway. Blended current affinity prior (0.55) with education template (0.45). Occupation bridge: Bachelor of Secondary Education: licensed teacher qualification under CMO leads to PSOC Group 02 Professionals (Teachers/Instructors) Match type: exact_name.,existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,[2],['Professionals'],2.775,3.0,2.5,1.91,2.0,1.8,3.82,4.0,3.6,1.91,2.0,1.8,5.0,5.0,5.0,1.64,2.0,1.2,3.0
feac7d9c-4105-47fd-9c28-6bbc05fe5bcf,Bachelor of Early Childhood Education,ED-BoECE-01,program_profile_v2,weighted_prior_template_v2,high,education,education,Education,,Family rule: teacher education or education studies pathway. Blended current affinity prior (0.55) with education template (0.45). Occupation bridge: Bachelor of Early Childhood Education: licensed teacher qualification under CMO leads to PSOC Group 02 Professionals (Teachers/Instructors) Match type: exact_name.,existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,[2],['Professionals'],2.225,2.0,2.5,1.91,2.0,1.8,3.82,4.0,3.6,1.91,2.0,1.8,5.0,5.0,5.0,1.09,1.0,1.2,3.0
b8945aae-3382-4795-80b9-cb9a80a124d3,Bachelor of Special Needs Education,ED-BoSNE-01,program_profile_v2,weighted_prior_template_v2,high,education,education,Education,,Family rule: teacher education or education studies pathway. Blended current affinity prior (0.55) with education template (0.45). Occupation bridge: Bachelor of Special Needs Education: licensed teacher qualification under CMO leads to PSOC Group 02 Professionals (Teachers/Instructors) Match type: exact_name.,existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,[2],['Professionals'],2.775,3.0,2.5,2.46,3.0,1.8,3.82,4.0,3.6,1.91,2.0,1.8,5.0,5.0,5.0,1.09,1.0,1.2,3.0
94e34d21-04fe-4b82-a8aa-682297b83e1b,Bachelor of Physical Education,ED-BoPE-01,program_profile_v2,weighted_prior_template_v2,high,education,education,Education,,Family rule: teacher education or education studies pathway. Blended current affinity prior (0.55) with education template (0.45). Occupation bridge: Bachelor of Physical Education: licensed teacher qualification under CMO leads to PSOC Group 02 Professionals (Teachers/Instructors) Match type: exact_name.,existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,[2],['Professionals'],2.225,2.0,2.5,2.46,3.0,1.8,3.27,3.0,3.6,1.91,2.0,1.8,5.0,5.0,5.0,1.09,1.0,1.2,3.0
8a01bb8c-5ca3-4d6c-9a96-32e211510eaf,Bachelor of Technical-Vocational Teacher Education,ED-BoTTE-01,program_profile_v2,weighted_prior_template_v2,high,technical_vocational_education,education,Education,,Family rule: teacher education with technical or livelihood content. Blended current affinity prior (0.55) with technical_vocational_education template (0.45). Occupation bridge: Bachelor of Technical-Vocational Teacher Education: licensed teacher qualification under CMO leads to PSOC Group 02 Professionals (Teachers/Instructors) Match type: exact_name.,existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,[2],['Professionals'],3.91,4.0,3.8,1.82,2.0,1.6,2.865,3.0,2.7,2.82,3.0,2.6,5.0,5.0,5.0,2.91,3.0,2.8,3.0
d2300f16-60c7-4937-ad1d-cbe40d051b6e,Bachelor of Science in Accountancy,BU-BA-01,program_profile_v2,weighted_prior_template_v2,high,business_accounting,business,Business,,"Family rule: accounting/accountancy professional pathway. Blended current affinity prior (0.55) with business_accounting template (0.45). Occupation bridge: BS Accountancy: accounting/finance licensure (CPA, government service) leads to PSOC Group 02 Professionals and management track Group 01 Managers Match type: exact_name.",existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,"[1, 2]","['Managers', 'Professionals']",2.91,3.0,2.8,0.27,0.0,0.6,1.91,2.0,1.8,5.0,5.0,5.0,1.09,1.0,1.2,0.91,1.0,0.8,3.0
86f3ca25-b347-4191-8a41-47a80fa7455e,Bachelor of Science in Accounting Information System,BU-BAIS-01,program_profile_v2,weighted_prior_template_v2,high,business_accounting,business,Business,,"Family rule: accounting/accountancy professional pathway. Blended current affinity prior (0.55) with business_accounting template (0.45). Occupation bridge: BS Accounting Information System: accounting/finance licensure (CPA, government service) leads to PSOC Group 02 Professionals and management track Group 01 Managers Match type: exact_name.",existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,"[1, 2]","['Managers', 'Professionals']",3.46,4.0,2.8,0.82,1.0,0.6,2.46,3.0,1.8,5.0,5.0,5.0,1.09,1.0,1.2,0.91,1.0,0.8,2.0
8d8a91b7-d901-4437-b2f6-7752e2ed19a5,Bachelor of Science in Management Accounting,BU-BMA-01,program_profile_v2,weighted_prior_template_v2,high,business_accounting,business,Business,,"Family rule: accounting/accountancy professional pathway. Blended current affinity prior (0.55) with business_accounting template (0.45). Occupation bridge: BS Management Accounting: accounting/finance licensure (CPA, government service) leads to PSOC Group 02 Professionals and management track Group 01 Managers Match type: exact_name.",existing_program_affinity_scores|program_family_template|program_occupation_bridge,reviewed_by_rule,High,"[1, 2]","['Managers', 'Professionals']",2.91,3.0,2.8,0.27,0.0,0.6,2.46,3.0,1.8,5.0,5.0,5.0,1.09,1.0,1.2,0.91,1.0,0.8,2.0
